City,Latitude,Longitude,Max Temperature (F),Humidity,Cloudiness,Wind Speed (mph),Country,Date
Plauen,50.5,12.1333,66.83,80,50,2.01,DE,1660427071
Half Moon Bay,37.4636,-122.4286,90.57,61,40,24.16,US,1660426937
Mataura,-46.1927,168.8643,44.47,87,6,2.86,NZ,1660426842
San Patricio,28.017,-97.5169,94.17,54,99,9.46,US,1660426931
Guerrero Negro,27.9769,-114.0611,84.51,52,1,13.82,MX,1660427077
Tuatapere,-46.1333,167.6833,41.27,72,2,4.27,NZ,1660426787
Jamestown,42.097,-79.2353,75.02,51,0,11.5,US,1660426947
Bakel,14.905,-12.4568,76.75,84,78,8.39,SN,1660427081
Anloga,5.7947,0.8973,75.13,87,93,17.74,GH,1660427082
Sorong,-0.8833,131.25,77.4,89,96,7.78,ID,1660427084
Shizukuishi,39.6833,140.9833,75.96,93,89,2.13,JP,1660427085
George Town,5.4112,100.3354,78.89,90,20,3.44,MY,1660427087
Plettenberg Bay,-34.0527,23.3716,51.94,71,14,7.56,ZA,1660427089
Pisco,-13.7,-76.2167,65.01,82,0,10.36,PE,1660426923
Impfondo,1.6381,18.0667,75.9,74,100,2.1,CG,1660426931
Havøysund,70.9963,24.6622,50.23,78,100,14.47,NO,1660427093
Yellowknife,62.456,-114.3525,72.12,43,20,11.5,CA,1660426997
Saint-Philippe,-21.3585,55.7679,65.79,72,52,13.6,RE,1660427074
Vaini,-21.2,-175.2,71.76,78,75,10.36,TO,1660426785
Upernavik,72.7868,-56.1549,44.98,73,100,4.92,GL,1660426833
Águas Vermelhas,-15.7472,-41.46,59.79,82,63,4.27,BR,1660427101
Belmonte,-15.8631,-38.8828,72.19,72,78,13.31,BR,1660427102
Hay River,60.8156,-115.7999,73.38,56,2,9.22,CA,1660427104
Santa Maria,-29.6842,-53.8069,67.3,68,0,4.61,BR,1660427105
Vardø,70.3705,31.1107,53.58,82,75,8.05,NO,1660427029
Turukhansk,65.8167,87.9833,51.19,55,98,13.69,RU,1660427108
Padang,-0.9492,100.3543,77.92,87,99,2.19,ID,1660427111
Tiksi,71.6872,128.8694,40.41,88,42,18.25,RU,1660426817
São Filipe,14.8961,-24.4956,76.33,82,98,11.16,CV,1660426960
Trairi,-3.2778,-39.2689,78.19,75,55,14.05,BR,1660427064
Saint Paul Harbor,57.79,-152.4072,56.71,82,100,8.05,US,1660426948
Helong,42.5397,128.9972,62.62,96,89,3.69,CN,1660427118
Egvekinot,66.3167,-179.1667,38.95,67,88,1.99,RU,1660427119
Kumul,42.8,93.45,75.76,26,43,14.63,CN,1660427121
Hasaki,35.7333,140.8333,81.0,85,70,19.89,JP,1660427123
Torbay,47.6666,-52.7314,67.75,90,75,8.05,CA,1660426974
Ribeira Grande,38.5167,-28.7,76.82,85,8,7.87,PT,1660426897
Albany,42.6001,-73.9662,78.44,42,2,3.24,US,1660426988
Asaba,6.2006,6.7338,73.17,96,100,5.86,NG,1660427128
Härnösand,62.6323,17.9379,60.82,86,46,7.56,SE,1660427130
Bengkulu,-3.8004,102.2655,74.91,89,99,3.51,ID,1660427131
Lake Charles,30.2131,-93.2044,85.98,78,75,12.66,US,1660426875
Oktyabr'skiy,54.4815,53.471,59.18,69,96,5.7,RU,1660427134
Chokurdakh,70.6333,147.9167,38.17,83,75,10.8,RU,1660427136
Lamu,-2.2717,40.902,75.42,87,55,15.19,KE,1660427137
Manadhoo,5.7667,73.3833,81.43,76,20,9.46,MV,1660427139
Dzerzhinsk,56.2389,43.4631,58.82,100,85,0.0,RU,1660427119
Araouane,18.9048,-3.5265,98.89,27,7,5.59,ML,1660427142
Jumla,29.2747,82.1838,60.22,92,34,2.37,NP,1660427011
Lompoc,34.6391,-120.4579,91.78,62,0,14.97,US,1660426684
Río Gallegos,-51.6226,-69.2181,37.45,81,100,19.57,AR,1660426889
Pathein,16.7833,94.7333,75.92,93,100,4.23,MM,1660427147
Ponta do Sol,32.6667,-17.1,74.03,82,75,3.65,PT,1660426990
Chicama,-7.8447,-79.1469,61.34,68,16,9.4,PE,1660427150
Ulladulla,-35.35,150.4667,52.7,60,67,10.96,AU,1660427151
Yeppoon,-23.1333,150.7333,60.58,80,0,2.89,AU,1660427153
Sault Ste. Marie,46.5168,-84.3333,73.69,43,100,6.91,CA,1660427039
Geraldton,-28.7667,114.6,48.61,93,34,11.5,AU,1660427156
Lebu,-37.6167,-73.65,49.24,92,100,13.53,CL,1660426933
Hithadhoo,-0.6,73.0833,82.24,75,79,6.11,MV,1660427158
Chone,-0.6833,-80.1,76.69,79,99,3.91,EC,1660427160
Port Alfred,-33.5906,26.891,54.09,85,21,6.58,ZA,1660426908
Lata,40.1629,-8.3327,57.96,96,14,1.83,PT,1660427159
Mīrābād,30.4362,61.8383,86.67,16,23,24.85,AF,1660427164
Lydenburg,-25.0978,30.4597,63.39,40,1,2.21,ZA,1660427166
Bereket,39.2446,55.5154,84.18,18,0,7.72,TM,1660427167
Caravelas,-17.7125,-39.2481,71.31,61,100,7.7,BR,1660427169
Hong Kong,22.2855,114.1577,82.33,91,6,1.99,HK,1660426872
Butaritari,3.0707,172.7902,81.16,79,22,15.93,KI,1660426791
Hilo,19.7297,-155.09,89.28,71,100,4.0,US,1660426963
New Norfolk,-42.7826,147.0587,51.93,87,100,7.0,AU,1660427089
Durusu,41.3053,28.6767,76.84,85,18,4.0,TR,1660427178
Manokwari,-0.8667,134.0833,77.92,78,97,1.23,ID,1660427179
Sept-Îles,50.2001,-66.3821,72.12,62,20,5.75,CA,1660426934
Klaksvík,62.2266,-6.589,52.72,87,100,8.81,FO,1660426629
Pevek,69.7008,170.3133,34.3,80,81,6.98,RU,1660426846
Harper,4.375,-7.7169,75.83,82,55,10.16,LR,1660427185
Mangai,-4.05,19.5333,75.96,35,8,0.51,CD,1660427186
São Paulo de Olivença,-3.3783,-68.8725,78.85,84,73,3.44,BR,1660427188
Longyearbyen,78.2186,15.6401,42.64,81,75,9.22,SJ,1660426875
Strezhevoy,60.7333,77.5889,53.35,98,99,9.17,RU,1660427192
Constitución,-35.3333,-72.4167,52.83,91,72,7.74,CL,1660426856
Saskylakh,71.9167,114.0833,45.28,66,57,3.78,RU,1660426808
Saint-François,46.4154,3.9054,67.68,45,0,2.3,FR,1660427078
Kawambwa,-9.7915,29.0791,62.08,39,22,2.48,ZM,1660427198
Kununurra,-15.7667,128.7333,60.78,82,8,0.0,AU,1660427050
Heihe,50.2441,127.4902,54.18,89,9,2.75,CN,1660427201
Zonguldak,41.25,31.8333,62.56,86,98,3.0,TR,1660427203
Makakilo City,21.3469,-158.0858,83.95,56,20,14.97,US,1660427204
Aykhal,66.0,111.5,45.52,82,100,6.89,RU,1660427136
Touba,8.2833,-7.6833,69.15,97,100,5.7,CI,1660427207
City of San Pedro,14.35,121.0167,78.03,91,20,4.61,PH,1660427208
Isangel,-19.55,169.2667,71.71,88,75,0.0,VU,1660427210
Sistranda,63.7256,8.834,51.76,76,100,5.06,NO,1660427211
Mount Gambier,-37.8333,140.7667,45.99,95,13,5.97,AU,1660426934
Hede,33.7681,120.2517,82.53,79,79,5.37,CN,1660427214
Castro,-24.7911,-50.0119,56.12,74,100,3.42,BR,1660426848
Te Anau,-45.4167,167.7167,39.61,79,44,1.66,NZ,1660426710
Freeport,40.6576,-73.5832,81.5,40,40,13.8,US,1660427063
Montanha,-18.1269,-40.3633,66.18,70,100,8.77,BR,1660427221
Arrondissement de Millau,44.0833,2.9167,80.73,68,97,8.9,FR,1660427224
Departamento de Maldonado,-34.6667,-54.9167,60.22,92,7,5.84,UY,1660427225
Dikson,73.5069,80.5464,45.0,100,100,6.96,RU,1660426991
Lagoa,39.05,-27.9833,75.11,88,0,10.96,PT,1660426782
Cabo San Lucas,22.8909,-109.9124,93.61,72,40,12.66,MX,1660426666
Samarai,-10.6167,150.6667,79.11,85,83,4.59,PG,1660427232
Emba,48.8264,58.1442,77.43,31,0,3.36,KZ,1660427233
Neuquén,-38.9516,-68.0591,69.69,13,25,25.32,AR,1660427235
Mīnāb,27.1467,57.0801,93.02,39,100,3.49,IR,1660427236
Bambous Virieux,-20.3428,57.7575,68.22,82,75,16.11,MU,1660427238
Cockburn Town,21.4612,-71.1419,84.16,70,40,9.22,TC,1660426836
Port Hedland,-20.3167,118.5667,64.45,72,19,6.91,AU,1660427241
Olinda,-8.0089,-34.8553,78.53,61,40,16.11,BR,1660427091
Nanyang,32.9947,112.5328,78.3,70,92,5.41,CN,1660427137
East London,-33.0153,27.9116,58.06,85,86,10.04,ZA,1660426998
Barabinsk,55.3571,78.357,59.47,93,88,16.06,RU,1660427246
Nuuk,64.1835,-51.7216,52.41,76,75,5.75,GL,1660427057
Ilulissat,69.2167,-51.1,55.42,41,75,18.41,GL,1660427167
Chui,-33.6971,-53.4616,55.85,92,10,5.91,UY,1660426834
Ust-Kuyga,70.0167,135.6,42.46,90,100,4.5,RU,1660427252
Carbonia,39.1672,8.5222,80.01,52,1,2.95,IT,1660427253
Imeni Stepana Razina,54.8932,44.2963,62.76,77,100,5.57,RU,1660427255
Nikolskoye,59.7035,30.7861,63.81,69,97,3.6,RU,1660426814
Kisangani,0.5167,25.2,70.0,96,100,1.12,CD,1660427259
Broken Hill,-31.95,141.4333,43.29,89,6,10.96,AU,1660427066
Muscat,23.6139,58.5922,89.62,65,98,13.15,OM,1660427262
Clyde River,70.4692,-68.5914,39.43,100,100,14.97,CA,1660427263
Salinas,36.6777,-121.6555,94.57,58,0,16.11,US,1660427181
Khatanga,71.9667,102.5,49.06,59,2,8.81,RU,1660427266
Norman Wells,65.282,-126.8329,82.44,28,0,11.5,CA,1660427006
Tasiilaq,65.6145,-37.6368,41.16,64,6,5.79,GL,1660426788
Mwene-Ditu,-7.0,23.45,73.24,28,39,5.23,CD,1660427270
Oistins,13.0667,-59.5333,82.49,83,40,5.75,BB,1660427238
Vendôme,47.8,1.0667,80.89,27,45,9.6,FR,1660427273
Grand Gaube,-20.0064,57.6608,68.38,70,91,5.01,MU,1660427274
Kaitangata,-46.2817,169.8464,43.2,75,5,10.49,NZ,1660426828
Los Llanos de Aridane,28.6585,-17.9182,69.55,90,0,13.8,ES,1660426930
Tezu,27.9167,96.1667,75.38,96,64,4.14,IN,1660427279
Christchurch,-43.5333,172.6333,49.41,81,0,3.44,NZ,1660427122
Wadena,46.4425,-95.1361,73.44,56,75,0.0,US,1660427282
Una,20.8167,71.0333,78.3,89,100,17.83,IN,1660427283
Codrington,-38.2667,141.9667,50.76,88,85,13.96,AU,1660427067
Vao,-22.6667,167.4833,70.75,68,100,21.97,NC,1660427030
Kampot,10.6167,104.1833,77.05,84,8,5.41,KH,1660427290
Rehoboth,-23.3167,17.0833,52.59,36,2,8.08,NA,1660427291
San Cristobal,7.7669,-72.225,75.38,81,75,4.18,VE,1660427293
Oddur,4.1213,43.8894,72.28,70,96,19.6,SO,1660427295
Vestmannaeyjar,63.4427,-20.2734,48.92,90,100,11.63,IS,1660427296
Bud,39.447,-86.1758,79.9,64,47,6.76,US,1660427299
Dunedin,-45.8742,170.5036,45.61,64,0,6.49,NZ,1660427300
Beringovskiy,63.05,179.3167,46.85,76,99,10.51,RU,1660427138
Belyy Yar,53.6039,91.3903,66.09,72,0,11.18,RU,1660427008
Talcahuano,-36.7167,-73.1167,55.08,94,100,13.8,CL,1660427304
Merauke,-8.4667,140.3333,77.54,83,89,10.85,ID,1660427306
Warrnambool,-38.3833,142.4833,52.12,86,77,16.53,AU,1660427307
Pinchote,6.5325,-73.1723,71.65,89,81,3.0,CO,1660427309
Victor Harbor,-35.5667,138.6167,49.68,90,5,2.08,AU,1660427310
Saint-Louis,16.3333,-15.0,87.44,62,100,10.51,SN,1660427312
Minden,52.2833,8.9167,72.09,64,35,4.61,DE,1660427314
Bubaque,11.2833,-15.8333,79.54,79,100,19.66,GW,1660427128
Alausí,-2.2,-78.8333,55.45,67,27,2.91,EC,1660427316
Sittwe,20.15,92.9,79.11,88,100,14.7,MM,1660427318
Ko Samui,9.5357,99.9357,83.46,67,1,0.87,TH,1660427319
Mastic Beach,40.7668,-72.8521,79.59,44,20,10.36,US,1660427119
Mažeikiai,56.3167,22.3333,61.27,75,85,6.06,LT,1660427323
Poli,-3.3333,36.8,57.47,82,57,3.33,TZ,1660427325
Podyuga,61.095,40.8647,50.74,74,2,3.29,RU,1660427326
Fortuna,40.5982,-124.1573,74.93,66,20,16.11,US,1660426597
Paamiut,61.994,-49.6678,43.86,78,100,1.74,GL,1660426969
Pietermaritzburg,-29.6168,30.3928,56.68,94,100,1.52,ZA,1660427331
Pimentel,-6.8367,-79.9342,70.09,64,0,17.27,PE,1660427332
Adrar,20.5022,-10.0711,94.37,30,1,8.52,MR,1660427334
Severo-Kuril'sk,50.6789,156.125,55.81,96,100,9.1,RU,1660427220
Neiafu,-18.65,-173.9833,77.68,61,20,5.75,TO,1660427336
Todos Santos,23.45,-110.2167,95.31,81,58,7.49,MX,1660427338
Birjand,32.8663,59.2211,73.87,18,0,13.8,IR,1660427339
Leningradskiy,69.3833,178.4167,34.9,79,91,5.53,RU,1660426909
Umba,66.6871,34.3429,50.54,81,13,8.86,RU,1660427342
Santiago del Estero,-27.7951,-64.2615,76.82,29,0,7.11,AR,1660427345
Havelock,34.8791,-76.9013,86.05,50,0,14.97,US,1660427347
Nushki,29.5542,66.0215,82.99,54,98,5.14,PK,1660427348
Sibolga,1.7427,98.7792,75.65,92,100,1.34,ID,1660427350
Yinchuan,38.4681,106.2731,76.86,73,83,2.84,CN,1660427351
Alofi,-19.0595,-169.9187,75.09,60,100,10.36,NU,1660427045
Fort Nelson,58.8053,-122.7002,80.19,54,20,0.0,CA,1660427355
Sørland,67.667,12.6934,51.66,82,74,16.49,NO,1660427357
Kruisfontein,-34.0033,24.7314,46.31,83,1,8.28,ZA,1660426955
Nagato,34.3833,131.2,80.67,89,95,9.84,JP,1660427063
Arandas,20.7,-102.35,72.91,52,60,0.6,MX,1660427361
Faanui,-16.4833,-151.75,78.06,76,52,12.01,PF,1660426950
Belaya Gora,68.5333,146.4167,41.18,90,100,13.06,RU,1660427364
Itaituba,-4.2761,-55.9836,84.36,74,20,0.0,BR,1660427365
Carutapera,-1.195,-46.02,77.85,82,60,7.92,BR,1660427265
Paralia Milatou,35.3167,25.5667,81.1,84,0,8.93,GR,1660427368
Colac,-38.3333,143.5833,47.08,96,93,10.09,AU,1660427370
Mehamn,71.0357,27.8492,49.95,93,100,10.36,NO,1660427371
Coyhaique,-45.5752,-72.0662,39.15,81,100,3.44,CL,1660427373
Bayjī,34.9311,43.487,92.3,24,0,11.48,IQ,1660427374
Rentina,40.6574,23.614,72.91,63,9,3.0,GR,1660427376
Nanortalik,60.1432,-45.2371,44.02,99,100,6.44,GL,1660427377
Poum,-20.2333,164.0167,74.34,71,98,22.82,NC,1660427379
Port Blair,11.6667,92.75,80.71,84,100,12.26,IN,1660426750
Chapleau,47.8405,-83.4034,75.29,31,40,5.75,CA,1660427122
Bandarbeyla,9.4942,50.8122,77.02,79,58,30.18,SO,1660427383
Pacific Grove,36.6177,-121.9166,85.24,73,0,12.66,US,1660427187
Kilindoni,-7.9139,39.6668,75.63,76,10,16.46,TZ,1660427386
Okoneshnikovo,54.8377,75.0834,55.63,90,11,10.51,RU,1660427389
Mana,5.6592,-53.7767,80.42,81,58,13.91,GF,1660427329
Labuhan,-6.8844,112.2051,77.86,87,70,6.93,ID,1660427391
Huilong,31.8111,121.655,85.93,87,98,11.1,CN,1660427393
Kostroma,57.7708,40.9344,65.84,58,87,4.52,RU,1660427333
Tawao,4.2498,117.8871,77.13,88,92,1.99,MY,1660427396
Fort Morgan,40.2503,-103.8,94.42,31,0,7.85,US,1660427399
Kalmunai,7.4167,81.8167,79.74,80,100,2.04,LK,1660427400
Umm Kaddadah,13.6017,26.6876,84.13,53,99,11.97,SD,1660427402
Sur,22.5667,59.5289,86.56,63,100,9.89,OM,1660427061
Araranguá,-28.9347,-49.4858,61.61,87,87,1.97,BR,1660427405
Jōetsu,37.1483,138.2364,75.11,94,100,4.18,JP,1660427408
Opotiki,-38.0833,177.2833,44.38,53,0,1.9,NZ,1660427409
Namalenga,-10.95,39.1,64.65,90,70,4.43,TZ,1660427411
Troitsko-Pechorsk,62.7084,56.1964,50.79,78,69,8.03,RU,1660427412
Parabel',58.6978,81.4825,56.16,98,99,8.19,RU,1660427414
Javānrūd,34.7961,46.5172,77.85,25,2,2.21,IR,1660427415
Quatre Cocos,-20.2078,57.7625,68.09,72,81,17.6,MU,1660427212
Laredo,27.5064,-99.5075,100.69,34,40,12.66,US,1660427418
Flin Flon,54.7682,-101.865,75.04,46,40,5.75,CA,1660427420
San Jose,37.3394,-121.895,93.92,42,0,13.8,US,1660426919
Mayo,38.8876,-76.5119,85.1,48,0,8.05,US,1660427391
Kargil,34.5667,76.1,60.19,55,2,7.43,IN,1660427424
General Roca,-39.0333,-67.5833,68.63,32,48,11.18,AR,1660427425
Oromocto,45.8351,-66.4792,75.13,64,75,2.3,CA,1660427427
Rio Grande,-32.035,-52.0986,66.31,86,12,6.49,BR,1660427428
Vanimo,-2.6741,141.3028,77.11,89,99,5.61,PG,1660427077
Batagay-Alyta,67.8006,130.4114,44.19,78,49,2.04,RU,1660427431
Arraial do Cabo,-22.9661,-42.0278,69.66,64,0,13.8,BR,1660427071
Ancud,-41.8697,-73.8203,45.93,79,32,22.5,CL,1660426721
Cap Malheureux,-19.9842,57.6142,68.47,70,89,5.01,MU,1660427435
Wajima,37.4,136.9,80.2,85,68,7.0,JP,1660427437
Katsuura,35.1333,140.3,80.62,84,63,23.38,JP,1660427438
Vangaindrano,-23.35,47.6,63.91,93,27,5.35,MG,1660427440
Pedernales,18.0384,-71.744,84.76,72,91,6.38,DO,1660427441
Moranbah,-22.0016,148.0466,59.23,33,0,4.72,AU,1660427443
Thinadhoo,0.5333,72.9333,81.97,73,96,2.64,MV,1660427147
Gimli,50.6336,-96.9907,81.73,50,54,5.88,CA,1660427051
San Rafael,-34.6177,-68.3301,62.22,37,60,7.7,AR,1660427447
Cidreira,-30.1811,-50.2056,60.93,83,100,6.46,BR,1660427032
Laguna,38.421,-121.4238,98.35,24,0,4.61,US,1660426832
Bertoua,4.5833,13.6833,68.04,98,100,4.61,CM,1660427451
Sadovoye,47.7764,44.5089,82.13,20,55,15.55,RU,1660427453
Siyabuswa,-25.1132,29.0445,62.29,25,0,2.33,ZA,1660427454
Bose,45.4612,8.0137,72.99,70,24,5.08,IT,1660427456
Khovd,48.0056,91.6419,59.38,46,5,6.73,MN,1660427280
Saltillo,25.4167,-101.0,81.28,42,95,1.99,MX,1660427370
Novoorsk,51.381,58.9813,63.25,59,52,9.6,RU,1660427460
San Juan de la Maguana,18.8059,-71.2299,84.74,56,87,8.16,DO,1660427462
Ruteng,-8.6136,120.4721,60.37,93,33,0.65,ID,1660427463
Djibouti,11.5,42.5,85.5,59,100,6.22,DJ,1660427420
Kurmanayevka,52.5093,52.0675,65.93,64,0,6.46,RU,1660427467
Tranås,58.0372,14.9782,64.38,61,99,2.55,SE,1660427469
Antofagasta,-23.65,-70.4,58.28,80,96,7.94,CL,1660427470
Burnie,-41.0667,145.9167,51.94,74,100,13.04,AU,1660427472
Iqaluit,63.7506,-68.5145,51.53,71,75,11.5,CA,1660426642
Hambantota,6.1241,81.1185,79.14,89,20,4.61,LK,1660427475
Mayor Pablo Lagerenza,-19.9309,-60.7718,86.23,35,8,6.35,PY,1660427476
Puerto Nariño,-3.7703,-70.3831,80.58,74,100,3.04,CO,1660427478
Inírida,3.8653,-67.9239,73.74,96,99,0.94,CO,1660427481
Buraidah,26.326,43.975,95.45,18,2,9.44,SA,1660427482
Saint George,37.1041,-113.5841,88.95,45,0,7.0,US,1660427094
Van Wert,40.8695,-84.5841,76.33,62,75,5.99,US,1660427486
Thompson,55.7435,-97.8558,71.76,30,0,0.0,CA,1660426997
Lagunas,-5.2269,-75.6753,89.33,48,8,2.04,PE,1660427491
Severo-Yeniseyskiy,60.3725,93.0408,45.59,72,58,3.65,RU,1660427492
Berlevåg,70.8578,29.0864,51.6,81,100,2.3,NO,1660426861
Pangnirtung,66.1451,-65.7125,45.97,94,100,5.73,CA,1660427495
Coquimbo,-29.9533,-71.3436,58.73,77,0,11.5,CL,1660427265
Kiryat Gat,31.61,34.7642,79.48,100,2,5.26,IL,1660427283
Campbellton,48.0075,-66.6727,70.25,76,100,3.71,CA,1660427499
Estelle,29.8458,-90.1067,91.4,65,75,11.5,US,1660427500
Itarema,-2.9248,-39.9167,78.4,75,92,18.01,BR,1660427503
Siemiatycze,52.4272,22.8623,65.07,93,100,7.23,PL,1660427505
Faya,18.3851,42.4509,69.91,62,97,4.56,SA,1660427396
Le Port,-20.9373,55.2919,67.24,67,57,11.54,RE,1660427508
Teya,60.3778,92.6267,48.63,75,74,2.82,RU,1660427509
Mandalgovi,45.7625,106.2708,53.49,92,9,7.9,MN,1660427511
Saint-Joseph,-21.3667,55.6167,64.78,71,45,13.4,RE,1660427254
Havre-St-Pierre,50.2334,-63.5986,71.96,56,0,5.75,CA,1660427515
Peniche,39.3558,-9.3811,68.29,86,74,9.26,PT,1660427304
Semey,50.4111,80.2275,63.54,54,0,5.95,KZ,1660427518
Plaster Rock,46.9065,-67.39,73.92,75,100,4.61,CA,1660427519
Akdepe,42.0551,59.3788,77.09,30,0,9.91,TM,1660427521
Tessalit,20.1986,1.0114,90.0,34,69,16.69,ML,1660426966
Maicao,11.3832,-72.2432,87.48,54,100,10.67,CO,1660427526
Chagoda,59.164,35.3285,63.12,86,95,3.83,RU,1660427528
Nyurba,63.2842,118.3319,53.06,97,100,6.91,RU,1660427529
Vancouver,49.2497,-123.1193,74.39,61,75,6.91,CA,1660427493
Owando,-0.4819,15.8999,81.75,44,100,2.39,CG,1660427532
Ordynskoye,54.3656,81.8994,63.68,58,50,12.53,RU,1660427534
Yabrūd,33.9674,36.6574,67.55,51,0,1.32,SY,1660427536
Tashla,51.7716,52.7427,67.39,54,0,7.0,RU,1660427537
Chalmette,29.9427,-89.9634,91.4,64,100,11.5,US,1660427539
Ghātanji,20.1333,78.3167,76.03,88,100,11.5,IN,1660427540
Broome,42.2506,-75.833,78.67,38,20,8.05,US,1660427385
Mossamedes,-15.1961,12.1522,64.42,88,55,4.68,AO,1660427274
Charlestown,-32.95,151.6667,51.73,78,37,8.99,AU,1660427544
Santa Isabel Rio Negro,-0.4139,-65.0192,76.75,90,100,2.62,BR,1660427546
Oranjemund,-28.55,16.4333,53.42,82,37,8.19,NA,1660427311
Anamur,36.0751,32.8369,80.67,71,0,10.98,TR,1660427549
Presidente Médici,-11.1753,-61.9014,87.76,30,6,2.24,BR,1660427551
Yangi Marg`ilon,40.4272,71.7189,74.12,46,0,4.61,UZ,1660427554
Alice Springs,-23.7,133.8833,33.35,75,0,0.0,AU,1660427267
